ModelName,Density,g0,s
Model001,session,1,1
Model002,session,1,session
Model003,session,1,h2
Model004,session,1,b
Model005,session,1,B
Model006,session,1,session+h2
Model007,session,1,session+b
Model008,session,1,session+B
Model009,session,1,h2+b
Model010,session,1,h2+B
Model011,session,1,session+h2+b
Model012,session,1,session+h2+B
Model013,session,session,1
Model014,session,session,session
Model015,session,session,h2
Model016,session,session,b
Model017,session,session,B
Model018,session,session,session+h2
Model019,session,session,session+b
Model020,session,session,session+B
Model021,session,session,h2+b
Model022,session,session,h2+B
Model023,session,session,session+h2+b
Model024,session,session,session+h2+B
Model025,session,h2,1
Model026,session,h2,session
Model027,session,h2,h2
Model028,session,h2,b
Model029,session,h2,B
Model030,session,h2,session+h2
Model031,session,h2,session+b
Model032,session,h2,session+B
Model033,session,h2,h2+b
Model034,session,h2,h2+B
Model035,session,h2,session+h2+b
Model036,session,h2,session+h2+B
Model037,session,b,1
Model038,session,b,session
Model039,session,b,h2
Model040,session,b,b
Model041,session,b,session+h2
Model042,session,b,session+b
Model043,session,b,h2+b
Model044,session,b,session+h2+b
Model045,session,B,1
Model046,session,B,session
Model047,session,B,h2
Model048,session,B,B
Model049,session,B,session+h2
Model050,session,B,session+B
Model051,session,B,h2+B
Model052,session,B,session+h2+B
Model053,session,session+h2,1
Model054,session,session+h2,session
Model055,session,session+h2,h2
Model056,session,session+h2,b
Model057,session,session+h2,B
Model058,session,session+h2,session+h2
Model059,session,session+h2,session+b
Model060,session,session+h2,session+B
Model061,session,session+h2,h2+b
Model062,session,session+h2,h2+B
Model063,session,session+h2,session+h2+b
Model064,session,session+h2,session+h2+B
Model065,session,session+b,1
Model066,session,session+b,session
Model067,session,session+b,h2
Model068,session,session+b,b
Model069,session,session+b,session+h2
Model070,session,session+b,session+b
Model071,session,session+b,h2+b
Model072,session,session+b,session+h2+b
Model073,session,session+B,1
Model074,session,session+B,session
Model075,session,session+B,h2
Model076,session,session+B,B
Model077,session,session+B,session+h2
Model078,session,session+B,session+B
Model079,session,session+B,h2+B
Model080,session,session+B,session+h2+B
Model081,session,h2+b,1
Model082,session,h2+b,session
Model083,session,h2+b,h2
Model084,session,h2+b,b
Model085,session,h2+b,session+h2
Model086,session,h2+b,session+b
Model087,session,h2+b,h2+b
Model088,session,h2+b,session+h2+b
Model089,session,h2+B,1
Model090,session,h2+B,session
Model091,session,h2+B,h2
Model092,session,h2+B,B
Model093,session,h2+B,session+h2
Model094,session,h2+B,session+B
Model095,session,h2+B,h2+B
Model096,session,h2+B,session+h2+B
Model097,session,session+h2+b,1
Model098,session,session+h2+b,session
Model099,session,session+h2+b,h2
Model100,session,session+h2+b,b
Model101,session,session+h2+b,session+h2
Model102,session,session+h2+b,session+b
Model103,session,session+h2+b,h2+b
Model104,session,session+h2+b,session+h2+b
Model105,session,session+h2+B,1
Model106,session,session+h2+B,session
Model107,session,session+h2+B,h2
Model108,session,session+h2+B,B
Model109,session,session+h2+B,session+h2
Model110,session,session+h2+B,session+B
Model111,session,session+h2+B,h2+B
Model112,session,session+h2+B,session+h2+B
